127.0.0.1 - - [01/Sep/2019:10:33:55 +0300] "GET / HTTP/1.1" 404 1024
0:0:0:0:0:0:0:1 - - [01/Sep/2019:12:39:56 +0300] "GET /tryagain/Users/Login/1/1/1 HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [01/Sep/2019:12:39:56 +0300] "GET /tryagain/Users/isManager/1/1/1 HTTP/1.1" 200 27
0:0:0:0:0:0:0:1 - - [01/Sep/2019:12:39:56 +0300] "GET /tryagain/Users/getUser/1/1/1 HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [01/Sep/2019:12:40:06 +0300] "GET /tryagain/Messages/getMessages HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [01/Sep/2019:12:40:06 +0300] "GET /tryagain/Messages/getMessages HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [01/Sep/2019:12:40:06 +0300] "GET /tryagain/Users/getUserById/1 HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [01/Sep/2019:12:40:06 +0300] "GET /tryagain/Users/getUserById/315163659 HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [01/Sep/2019:12:40:06 +0300] "GET /tryagain/Users/getUserById/1 HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [01/Sep/2019:12:40:06 +0300] "GET /tryagain/Users/getUserById/315163659 HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [01/Sep/2019:12:41:08 +0300] "OPTIONS /tryagain/Messages/addMessage HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [01/Sep/2019:12:41:08 +0300] "POST /tryagain/Messages/addMessage HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [01/Sep/2019:12:47:17 +0300] "GET /tryagain/Messages/getMessages HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [01/Sep/2019:12:47:17 +0300] "GET /tryagain/Messages/getMessages HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [01/Sep/2019:12:47:17 +0300] "GET /tryagain/Users/getUserById/1 HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [01/Sep/2019:12:47:17 +0300] "GET /tryagain/Users/getUserById/315163659 HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [01/Sep/2019:12:47:17 +0300] "GET /tryagain/Users/getUserById/1 HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [01/Sep/2019:12:47:18 +0300] "GET /tryagain/Users/getUserById/1 HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [01/Sep/2019:12:47:18 +0300] "GET /tryagain/Users/getUserById/315163659 HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [01/Sep/2019:12:47:18 +0300] "GET /tryagain/Users/getUserById/1 HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [01/Sep/2019:12:48:04 +0300] "GET /tryagain/Messages/getMessages HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [01/Sep/2019:12:48:04 +0300] "GET /tryagain/Messages/getMessages HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [01/Sep/2019:12:48:05 +0300] "GET /tryagain/Users/getUserById/1 HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [01/Sep/2019:12:48:05 +0300] "GET /tryagain/Users/getUserById/315163659 HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [01/Sep/2019:12:48:05 +0300] "GET /tryagain/Users/getUserById/1 HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [01/Sep/2019:12:48:05 +0300] "GET /tryagain/Users/getUserById/1 HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [01/Sep/2019:12:48:05 +0300] "GET /tryagain/Users/getUserById/315163659 HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [01/Sep/2019:12:48:05 +0300] "GET /tryagain/Users/getUserById/1 HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [01/Sep/2019:12:52:11 +0300] "GET /tryagain/Users/Login/1/1/1 HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [01/Sep/2019:12:52:11 +0300] "GET /tryagain/Users/getUser/1/1/1 HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [01/Sep/2019:12:52:11 +0300] "GET /tryagain/Users/isManager/1/1/1 HTTP/1.1" 200 27
0:0:0:0:0:0:0:1 - - [01/Sep/2019:12:52:12 +0300] "GET /tryagain/Messages/getMessages HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [01/Sep/2019:12:52:12 +0300] "GET /tryagain/Messages/getMessages HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [01/Sep/2019:12:52:12 +0300] "GET /tryagain/Users/getUserById/1 HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [01/Sep/2019:12:52:12 +0300] "GET /tryagain/Users/getUserById/315163659 HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [01/Sep/2019:12:52:12 +0300] "GET /tryagain/Users/getUserById/1 HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [01/Sep/2019:12:52:12 +0300] "GET /tryagain/Users/getUserById/1 HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [01/Sep/2019:12:52:12 +0300] "GET /tryagain/Users/getUserById/315163659 HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [01/Sep/2019:12:52:12 +0300] "GET /tryagain/Users/getUserById/1 HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [01/Sep/2019:13:07:42 +0300] "GET /tryagain/Messages/getMessages HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [01/Sep/2019:13:07:42 +0300] "GET /tryagain/Messages/getMessages HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [01/Sep/2019:13:07:52 +0300] "GET /tryagain/Users/Login/1/1/1 HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [01/Sep/2019:13:07:52 +0300] "GET /tryagain/Users/isManager/1/1/1 HTTP/1.1" 200 27
0:0:0:0:0:0:0:1 - - [01/Sep/2019:13:07:52 +0300] "GET /tryagain/Users/getUser/1/1/1 HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [01/Sep/2019:13:07:55 +0300] "GET /tryagain/Messages/getMessages HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [01/Sep/2019:13:07:55 +0300] "GET /tryagain/Messages/getMessages HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [01/Sep/2019:13:31:18 +0300] "GET /tryagain/Messages/getMessages HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [01/Sep/2019:13:31:18 +0300] "GET /tryagain/Messages/getMessages HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [01/Sep/2019:13:50:41 +0300] "GET /tryagain/Users/Login/1/1/1 HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [01/Sep/2019:13:50:41 +0300] "GET /tryagain/Users/isManager/1/1/1 HTTP/1.1" 200 27
0:0:0:0:0:0:0:1 - - [01/Sep/2019:13:50:41 +0300] "GET /tryagain/Users/getUser/1/1/1 HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [01/Sep/2019:13:50:46 +0300] "GET /tryagain/Messages/getMessages HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [01/Sep/2019:13:50:46 +0300] "GET /tryagain/Messages/getMessages HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [01/Sep/2019:13:51:04 +0300] "GET /tryagain/Messages/getMessages HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [01/Sep/2019:13:51:04 +0300] "GET /tryagain/Messages/getMessages HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [01/Sep/2019:13:51:04 +0300] "GET /tryagain/Users/getUserById/1 HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [01/Sep/2019:13:51:04 +0300] "GET /tryagain/Users/getUserById/1 HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [01/Sep/2019:13:51:04 +0300] "GET /tryagain/Users/getUserById/315163659 HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [01/Sep/2019:13:51:04 +0300] "GET /tryagain/Users/getUserById/1 HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [01/Sep/2019:13:51:04 +0300] "GET /tryagain/Users/getUserById/315163659 HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [01/Sep/2019:13:51:04 +0300] "GET /tryagain/Users/getUserById/1 HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [01/Sep/2019:13:51:41 +0300] "GET /tryagain/Messages/getMessages HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [01/Sep/2019:13:51:41 +0300] "GET /tryagain/Messages/getMessages HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [01/Sep/2019:13:51:41 +0300] "GET /tryagain/Users/getUserById/1 HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [01/Sep/2019:13:51:41 +0300] "GET /tryagain/Users/getUserById/315163659 HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [01/Sep/2019:13:51:41 +0300] "GET /tryagain/Users/getUserById/1 HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [01/Sep/2019:13:51:41 +0300] "GET /tryagain/Users/getUserById/1 HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [01/Sep/2019:13:51:41 +0300] "GET /tryagain/Users/getUserById/315163659 HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [01/Sep/2019:13:51:41 +0300] "GET /tryagain/Users/getUserById/1 HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [01/Sep/2019:13:51:55 +0300] "GET /tryagain/Users/Login/1/1/1 HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [01/Sep/2019:13:51:55 +0300] "GET /tryagain/Users/isManager/1/1/1 HTTP/1.1" 200 27
0:0:0:0:0:0:0:1 - - [01/Sep/2019:13:51:55 +0300] "GET /tryagain/Users/getUser/1/1/1 HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [01/Sep/2019:13:51:57 +0300] "GET /tryagain/Messages/getMessages HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [01/Sep/2019:13:51:57 +0300] "GET /tryagain/Messages/getMessages HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [01/Sep/2019:13:51:57 +0300] "GET /tryagain/Users/getUserById/1 HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [01/Sep/2019:13:51:57 +0300] "GET /tryagain/Users/getUserById/315163659 HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [01/Sep/2019:13:51:57 +0300] "GET /tryagain/Users/getUserById/1 HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [01/Sep/2019:13:51:57 +0300] "GET /tryagain/Users/getUserById/1 HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [01/Sep/2019:13:51:57 +0300] "GET /tryagain/Users/getUserById/315163659 HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [01/Sep/2019:13:51:57 +0300] "GET /tryagain/Users/getUserById/1 HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [01/Sep/2019:14:08:14 +0300] "GET /tryagain/Messages/getMessages HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [01/Sep/2019:14:08:14 +0300] "GET /tryagain/Messages/getMessages HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [01/Sep/2019:14:08:14 +0300] "GET /tryagain/Users/getUserById/1 HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [01/Sep/2019:14:08:14 +0300] "GET /tryagain/Users/getUserById/315163659 HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [01/Sep/2019:14:08:14 +0300] "GET /tryagain/Users/getUserById/1 HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [01/Sep/2019:14:08:14 +0300] "GET /tryagain/Users/getUserById/1 HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [01/Sep/2019:14:08:14 +0300] "GET /tryagain/Users/getUserById/315163659 HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [01/Sep/2019:14:08:14 +0300] "GET /tryagain/Users/getUserById/1 HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [01/Sep/2019:14:08:29 +0300] "GET /tryagain/Users/Login/1/1/1 HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [01/Sep/2019:14:08:29 +0300] "GET /tryagain/Users/isManager/1/1/1 HTTP/1.1" 200 27
0:0:0:0:0:0:0:1 - - [01/Sep/2019:14:08:29 +0300] "GET /tryagain/Users/getUser/1/1/1 HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [01/Sep/2019:14:08:33 +0300] "GET /tryagain/Messages/getMessages HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [01/Sep/2019:14:08:33 +0300] "GET /tryagain/Messages/getMessages HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [01/Sep/2019:14:08:33 +0300] "GET /tryagain/Users/getUserById/1 HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [01/Sep/2019:14:08:33 +0300] "GET /tryagain/Users/getUserById/315163659 HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [01/Sep/2019:14:08:33 +0300] "GET /tryagain/Users/getUserById/1 HTTP/1.1" 200 164
